date,nav,return_1y,return_3y,return_5y,daily_return,risk_1y
2011-12-20,11.2244,9.08,,,0.024060525588809334,0.02
2011-12-21,11.2269,9.08,,,0.02227290545597782,0.02
2011-12-22,11.2294,9.08,,,0.02226794573747526,0.02
2011-12-23,11.2322,9.04,,,0.02493454681462559,0.02
2011-12-26,11.2401,9.1,,,0.07033350545750938,0.02
2011-12-27,11.2422,9.1,,,0.018683107801531484,0.02
2011-12-28,11.245,9.1,,,0.02490615715784461,0.02
2011-12-29,11.2478,9.11,,,0.024899955535806484,0.02
2011-12-30,11.2507,9.07,,,0.02578281975142982,0.02
2012-01-02,11.2594,9.13,,,0.07732852178086169,0.02
2012-01-03,11.2623,9.14,,,0.02575625699416939,0.02
2012-01-04,11.2652,9.14,,,0.02574962485459853,0.02
2012-01-05,11.2681,9.08,,,0.025742996129674012,0.02
2012-01-06,11.271,9.09,,,0.025736370816731302,0.02
2012-01-09,11.2797,9.15,,,0.07718924673940641,0.02
2012-01-10,11.2826,9.15,,,0.025709903632198383,0.02
2012-01-11,11.2855,9.16,,,0.025703295339729593,0.02
2012-01-12,11.2884,9.13,,,0.025696690443477443,0.02
2012-01-13,11.2913,9.13,,,0.025690088940866218,0.02
2012-01-16,11.3125,9.32,,,0.1877551743377781,0.02
2012-01-17,11.3166,9.34,,,0.036243093922649905,0.02
2012-01-18,11.3197,9.34,,,0.027393386706253686,0.02
2012-01-19,11.3225,9.31,,,0.02473563787026567,0.02
2012-01-20,11.3271,9.33,,,0.040627069993370846,0.02
2012-01-23,11.3333,9.37,,,0.0547359871458708,0.02
2012-01-24,11.3178,9.2,,,-0.13676510813266374,0.03
2012-01-25,11.3221,9.22,,,0.03799324957147743,0.03
2012-01-27,11.3292,9.23,,,0.0627092147216457,0.03
2012-01-30,11.3316,9.23,,,0.02118419658934112,0.03
2012-01-31,11.3334,9.22,,,0.015884782378483564,0.03
2012-02-01,11.3491,9.34,,,0.13852859689060804,0.03
2012-02-02,11.3531,9.36,,,0.035245085513380126,0.03
2012-02-03,11.3563,9.31,,,0.028186134183605382,0.03
2012-02-06,11.3674,9.39,,,0.09774310294727862,0.03
2012-02-07,11.369,9.38,,,0.014075338247976354,0.03
2012-02-08,11.3731,9.4,,,0.036062978274253865,0.03
2012-02-09,11.3754,9.4,,,0.020223158153886978,0.03
2012-02-10,11.3746,9.31,,,-0.007032719728550241,0.03
2012-02-13,11.3809,9.35,,,0.05538656304397982,0.03
2012-02-14,11.3837,9.32,,,0.02460262369408106,0.03
2012-02-15,11.3882,9.34,,,0.03953020546922925,0.03
2012-02-17,11.3924,9.31,,,0.036880279587658826,0.03
2012-02-21,11.4032,9.39,,,0.09480004213335835,0.03
2012-02-22,11.4087,9.41,,,0.048232075206966485,0.03
2012-02-23,11.4113,9.41,,,0.0227896254612725,0.03
2012-02-24,11.4098,9.37,,,-0.01314486517749458,0.03
2012-02-27,11.4113,9.31,,,0.013146593279467211,0.03
2012-02-28,11.4149,9.32,,,0.03154767642599143,0.03
2012-02-29,11.4178,9.33,,,0.02540539119921803,0.03
2012-03-01,11.3925,9.06,,,-0.22158384277181087,0.03
2012-03-02,11.3985,9.09,,,0.05266622778143937,0.03
2012-03-05,11.415,9.18,,,0.14475588893274605,0.03
2012-03-06,11.4164,9.17,,,0.012264564169961467,0.03
2012-03-07,11.3988,8.95,,,-0.15416418485687533,0.03
2012-03-09,11.4047,8.98,,,0.051759834368536595,0.03
2012-03-12,11.4025,8.89,,,-0.019290292598672654,0.03
2012-03-13,11.4094,8.93,,,0.0605130453847913,0.03
2012-03-14,11.4179,8.98,,,0.07449997370589934,0.03
2012-03-15,11.4123,8.91,,,-0.04904579651249241,0.03
2012-03-16,11.4071,8.83,,,-0.04556487298792433,0.04
2012-03-19,11.4179,8.84,,,0.09467787605963451,0.04
2012-03-20,11.4202,8.84,,,0.02014380928192505,0.04
2012-03-21,11.4201,8.79,,,-0.0008756414073274321,0.04
2012-03-22,11.423,8.8,,,0.0253938231714379,0.04
